0,4254221475,"BAQIYA SHOUTOUT 85","baqiya85","",277,28,1,26,"","None","2015-11-23 03:06:23","None"
1,4218552635,"Hasan","3Hasan_Ali","University Student From the city of Mosul",17,30,0,5,"Mosul","None","2015-11-18 14:25:06","None"
2,4288988058,"أبو الزبير العراقي","abu_alzobair100","‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏شآبْ أرهقتهُ ملذاتُ الحياة ، ويرى أن النجاةَ منهآ الجهآدُ في سبيل الله أرى ذُنوبي كالضِباع تَنهشُ لحمَ قلبي..وأرى النجاةَ بأرض الجهادِ",765,323,0,144,"قاطـع الـزبير إبـن العـوام","None","2015-11-19 10:57:54","None"
3,4194255945,"خطاب #بيجي☝️","khatabb75","⚑ هللّي سُمْرَ الحِرابْ ...",1025,320,2,106,"","None","2015-11-15 13:51:35","None"
4,4211773240,"مــــــ خــــطاب وسى","abbs42ssd","نسأل الله الثبات",262,100,0,47,"","Pacific Time (US & Canada)","2015-11-17 18:07:44","None"
5,3343796530,"Abu Abbas AlLubnāni","Maxabbes4","Missing the Shuhāda",377,74,4,18,"Darul Islam #الدولة_الإسلامية","Istanbul","2015-06-24 07:37:36","None"
6,3147807231,"ﷲ MILLATU IBRAHIM ﷲ","EbshiruGhuraba","“Whosoever Allah ﷻ wishes good for, He gives him understanding (fiqh) of the Religion.” ~ Prophet Muhammad ﷺ Retweets/Following ≠ Endorsements",1016,8,3,274,"Dunya","Pacific Time (US & Canada)","2015-04-08 13:01:22","None"
7,4256251397,"آدم السوري","Kashifypg","",276,194,8,11,"","Pacific Time (US & Canada)","2015-11-23 09:34:52","None"
8,4037514381,"خلاد القرشي","Kfs7q7","",2075,163,1,301,"في الإعجابات ترى التغريدات فقط","None","2015-10-25 08:16:22","None"
9,306051539,"A. Ibrahim","Is79A","Islamic Supremacist, Radical and Fundamentalist.",831,240,8,78,"","Quito","2011-05-27 06:02:50","None"
10,234539951,"Habib M. Sayah","Habsolutelyfree","Tunisian political risk & security consultant, COIN fanatic, oil geek, radical Mu'tazilite and self-proclaimed mujtahid. @warstudies alumnus.",4340,2909,98,16884,"London / Tunis ","London","2011-01-05 22:31:04","http://t.co/oT3dosUhW9"
11,4292780593,"د.ألأنصــاريــهہ ッ","EmA__IOP","الخــــــاص ممنـــوع BĹØČĶ",992,509,4,150,"مثلث برمودا","None","2015-11-19 18:51:20","https://t.co/CNHflWd1gD"
12,4205123242,"RwinaFilKouzina","AbuLeChiffre","Lil Jihadi Madayna Anahnu Ansaar, Li Ribaati Atayna Anahnu Ansaar, Li Nayli Shahada Ansaar Lilah, Li Darbi Saa3da Ansaru Lilah !....",35,32,1,772,"Dirt Biking In Anbar Desert ","None","2015-11-16 22:13:11","https://t.co/nutsUTWvhQ"
13,4232987367,"فتى☝ نينوى","80X80X90H6","‏‏‏ﻋﻦ ﺃﺑﻲ ﻫﺮﻳﺮﺓ رضي الله عنه ﺃﻥ ﺭﺳﻮﻝ اﻟﻠﻪ ﷺ ﻗﺎﻝ:«ﺃﺣﺐ اﻟﺒﻼﺩ ﺇﻟﻰ اﻟﻠﻪ ﻣﺴﺎﺟﺪﻫﺎ، ﻭﺃﺑﻐﺾ اﻟﺒﻼﺩ ﺇﻟﻰ اﻟﻠﻪ ﺃﺳﻮاﻗﻬﺎ» رواه مسلم",1917,391,1,580,"","None","2015-11-20 08:18:06","None"
14,4232118369,"العراق الآن","iraqnow341","من أرض اغرورقت بدمع نهرين ينزفان ، عند القلب مفترقان ، ثم يتعانقان عند مرفأ الأوجاع ، هناك حيث شطَّ العربُ ! فسلام عليك ياعراقنا العظيم.",5649,44,18,210,"بغداد - حساب رقم ٣٤١","None","2015-11-20 05:42:14","None"
15,4286482333,"Ibn Arey","iislamic16","And do not mix the truth with falsehood or conceal the truth while you know (it) [02:42]",584,33,0,161,"Wilayat Biriyani","None","2015-11-19 05:15:42","None"
16,4271038573,"Abou Sahl (^_^)","Abou_Sahl_53","‏‏‏‏‏أبايع أمير المؤمنين أبي بكر البغدادي على السمع والطاعة في المنشط و المكره و في العسر و اليسر و على أثرة على نفسي",1450,324,0,1010,"الحساب رقم 53.        الجزائر.","None","2015-11-17 19:44:53","None"
17,4276919238,"ضيـم وألـم#باقية","Xxxxx_14_","(يدخل الجنه أقوام أفئدتهم مثل أفئدة الطير)",176,602,0,19,"","Pacific Time (US & Canada)","2015-11-18 08:47:16","None"
18,4244760922,"ابو الوليد","Vfd192","",2459,94,9,72,"","None","2015-11-21 20:47:49","None"
19,3957271214,"متى النفير","651_al","‏‏‏في عالم تويتر أخلص عملك لله وحده،إنتبه لا يكون تجميع المتابعين حجة عليك يوم القيامة،فكر ببوحك قبل نشره ولا تستعجل فيه#وصايا_مودع وسنبقى نؤرقهم ‏‏(حساب محرض)",991,914,1,263,"","None","2015-10-20 10:58:33","None"
20,188151569,"عــراق الفاروق عمر","This3x2","",3648,1,8,267,"","Eastern Time (US & Canada)","2010-09-08 01:28:42","None"
21,3913997415,"ناشرعراق الفاروق عمر","fd11x77","",4496,49,6,499,"","Pacific Time (US & Canada)","2015-10-10 01:39:49","None"
22,3654178036,"أبوبكرالعربي","SanawatKhada3at","Analysis based on the Quran & Sunnah. Unaffiliated. Gamer, into geography & Wildlife -RT's, Likes & follows ≠ endorsement",488,40,2,568,"","Pacific Time (US & Canada)","2015-09-14 15:05:12","None"
23,4221288315,"Abu Yusuf Al-Jabarti","AlJabarti48","Ya JN/AQ/Taliban fans, keep following the path of the jewish rabbis while we follow the path of Abdullah ibn Salam ☝ PS: DONT TALK TO ME, SISTERS!!!",344,168,0,636," Languages: French/English ","Pacific Time (US & Canada)","2015-11-18 21:52:59","None"
24,4287371112,"Mazloom Koshur","MKoshur3","My location is enough to describe my everything.",66,54,0,28,"Occupied Kashmir","None","2015-11-19 07:28:08","None"
25,3323514579,"Fiqh Al Waqi'","fiqhalwaqi","Journaliste, Chercheur en Fiqh Al Waqi'.",1451,902,9,922,"City of London, London","Pacific Time (US & Canada)","2015-06-13 19:53:18","None"
26,164703152,"Patrickistan","FreeMorsi1","Anti régimes tyranniques!",325,268,16,12393,"Paris","Ljubljana","2010-07-09 14:51:53","None"
27,4233254734,"أبو رمزي الشامي","twit06815073","O Kuffar We said Baqiyah and we meant it",306,58,2,27,"","None","2015-11-20 08:44:38","https://t.co/zc4xscNnJ6"
28,342480524,"Grevé مم","_dischi_","",110,81,0,390,"","Pacific Time (US & Canada)","2011-07-26 02:34:09","https://t.co/oFNjYzRAWc"
29,3369040173,"арыстан","Qonaqkend","Nous faisons descendre du Coran, ce qui est une guérison et une miséricorde pour les croyants. Cependant, cela ne fait qu'accroître la perdition des injustes.",757,791,14,13074,"","Pacific Time (US & Canada)","2015-07-10 11:33:36","None"
30,269115046,"أبو حفصة المغربي","maghrebiclearr","Nanotechnology Engineer reading, sharing and commenting on world news.",1214,356,5,129,"","Pacific Time (US & Canada)","2011-03-20 03:52:40","None"
31,4235922435,"Abdel-Adhim13","AAdhim13","",364,45,1,89,"","None","2015-11-20 17:08:45","None"
32,2280470022,"AirLive.net","airlivenet","Aviation News - Live Alerts - Booking #avgeek ✈️",99397,643,1603,27474,"JFK DUB MAN LHR CDG DXB MEL","Amsterdam","2014-01-07 11:38:00","https://t.co/LYe0i8ANVU"
33,297508918,"Georges Malbrunot","Malbrunot","Spécialiste du Moyen-Orient au Figaro",7090,244,238,1184,"","None","2011-05-12 16:41:13","http://t.co/gRfxr8mn9M"
34,4226430280,"SALADAIN","saladain747em","",186,330,6,406,"","Pacific Time (US & Canada)","2015-11-19 13:18:32","None"
35,2182570731,"النـاصـر لديـن اللـه","A__l__A32","طالَ الأنتضارُ والصّبرُ مُـسـتـَمـِرْ××لِلُقٌْيَا المَنَايَا فِي سَاحٍ مُـسـتَـعِـر....النـاصـر لـديـن الـلـه التـكريـتي.....#ولاية_صلاح_الدين.",413,81,1,88,"","None","2013-11-16 00:14:30","None"
36,4265643793,"الاسد السني العراقي™","asad_sunny_12","نحنُ لانعيش وهم الخلافة بل انتم من تعيشون صدمة الواقع..!",1059,346,0,278,"•| إمارة العراق |•","None","2015-11-17 08:02:24","None"
37,4227895253,"Younes Le Déserteur","YouuZadar","Kill me if you can !",55,39,0,13,"","None","2015-11-19 17:26:05","None"
38,4198789629,"Mountain Man","Mou_ypp","Mountains don't lie....People lie",744,658,6,300,"","Pacific Time (US & Canada)","2015-11-16 03:22:12","None"
